issue,suggested_specialty,name,area,current_specialty,google_category_raw,rating,reviews,place_id
MISMATCH,إكسسوارات,كراج متاريس,المرقاب,قير وفتيس,متجر كماليات السيارات,4.1,61,ChIJSVgqYxGFzz8Rqxh0aOKZEe4
MISMATCH,وكيل,معرض سيارات بيجو,الري,دواسر وفرش,تاجر سيارات Peugeot,4.0,61,ChIJrSb9npaazz8RtLcoyriuVtY
MISMATCH,زيوت وصيانة,Ali Alghanim Mubarak Al-Kabeer Service Station,مبارك الكبير,بطاريات,خدمة تغيير الزيت,4.2,57,ChIJYb7d0KGgzz8RmUGo34t1cck
MISMATCH,قطع غيار,Al Qamer Auto Parts (القمري) قطع غيار دبّوس,الفحيحيل,بطاريات,متجر قطع غيار سيارات,4.8,56,ChIJJQiOBu4Hzz8Re6lvpEcHvgM
MISMATCH,قطع غيار,Al-Mhaimeed Auto Spare Parts,الشويخ الصناعية 1,كمبيوتر وتشخيص,متجر قطع غيار سيارات,4.8,55,ChIJuRJlC8aazz8RJJIsMR_Iuw0
MISMATCH,قطع غيار,الساير لقطع غيار السيارات | لكزس تويوتا,الفروانية,بطاريات,متجر قطع غيار سيارات,4.1,54,ChIJlw6AKCabzz8RnsekRL_XvuE
MISMATCH,قطع غيار,كراج الحريري Volvo,الكويت,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,3.9,54,ChIJkVU_arIJ0D8RrveG1Gpzli0
MISMATCH,إكسسوارات,CAR Zeena Center,الشويخ الصناعية,دواسر وفرش,متجر كماليات السيارات,4.3,52,ChIJzRjWQcGazz8RiCQLswwWibY
MISMATCH,كهرباء سيارات,كهرباء وبنشر أخصائي تكييف,الشويخ الصناعية,تواير وبنشر,خدمة كهرباء سيارات,3.9,51,ChIJ7c8nZOmazz8RAm3V2FY_0z0
MISMATCH,بودي وصبغ,AutoWrap,الري,ونش وسحب,ورشة إصلاح هياكل سيارات,4.4,51,ChIJ4xWFRbebzz8RtCU1Wce5dcw
MISMATCH,بطاريات,AlMailem Tires AAT07,الفحيحيل,تواير وبنشر,متجر بطاريات سيارات,4.8,50,ChIJMTpRz8sHzz8R15KHZgbL5ds
MISMATCH,كهرباء سيارات,كهرباء و بنشر زهرة البسام,المهبولة,تواير وبنشر,خدمة كهرباء سيارات,4.5,49,ChIJ3z_NfgIJzz8R_rrNV90Ub4g
MISMATCH,وكيل,الصراف للسيارات,غرب ابو فطيرة الحرفية,دواسر وفرش,سوق سيارات,4.2,48,ChIJvQvzKlqgzz8R625KlPtZsNU
MISMATCH,وكيل,Apatchi Cars Co. used car in Kuwait -معرض أباتشي لبيع وشراء السيارات - سيارات للبيع الكويت,Salmiyah . Maid an Hawalli,دواسر وفرش,تاجر سيارات مستعملة,3.8,48,ChIJc5RahKmdzz8R3UKpNH_K_GI
MISMATCH,وكيل,السليم موتورز,الري,كمبيوتر وتشخيص,تاجر سيارات,4.2,47,ChIJSWTFTdqbzz8RnGObmVQjUjs
MISMATCH,إكسسوارات,انوار المهلب ANWAAR AL MUHALLB CAR Accessories,الفحيحيل,بطاريات,متجر كماليات السيارات,4.8,47,ChIJDYLx6uUHzz8RHRl6N5MxdKQ
MISMATCH,وكيل,212 Kuwait,الري,دواسر وفرش,تاجر سيارات مستعملة,3.7,46,ChIJiwVBnpaazz8RJlCy3-Yig_I
MISMATCH,غسيل وتلميع,"ProTech Monte-Carlo, Kuwait",الشويخ الصناعية 2,دواسر وفرش,خدمة العناية الشاملة بالسيارة,4.3,45,ChIJJS4yULGazz8RL3d3yJIDsAg
MISMATCH,كهرباء سيارات,كهرباء وبنشر جمعية سلوى,سلوى,تواير وبنشر,خدمة كهرباء سيارات,4.3,45,ChIJBcBsbPKfzz8RDU-5j_RKarY
MISMATCH,قطع غيار,AUTO1 Parts and Accessories Jeleeb,جليب الشيوخ,بطاريات,متجر قطع غيار سيارات,4.2,45,ChIJsft_KTabzz8RmYMeoluViig
MISMATCH,غسيل وتلميع,Reflection,الري (قريب من الشويخ),دواسر وفرش,خدمة العناية الشاملة بالسيارة,4.5,40,ChIJESSm-Iyazz8RgtwShd-XgZ4
MISMATCH,غسيل وتلميع,Topaz Detailing Kuwait | Luxury Car Detailing and Paint Protection Film Specialists,الري (قريب من الشويخ),بودي وصبغ,خدمة العناية الشاملة بالسيارة,4.9,39,ChIJZe2HOgCbzz8RUlP6btWBkPQ
MISMATCH,إكسسوارات,Epic Overland ايبك اوفرلاند,الري (قريب من الشويخ),دواسر وفرش,متجر كماليات السيارات,4.1,39,ChIJEXJnLgFVxT8RLbNzRH9H2yI
MISMATCH,قطع غيار,سكراب السيارات النعايم سوزوكي,الكويت,قير وفتيس,متجر قطع غيار سيارات,3.8,39,ChIJsXBfrssJ0D8RR3P2f6XWU98
MISMATCH,ميكانيكا,Kuwait Heat Transfer Co.,شرق الأحمدي,تكييف,مقاول أجهزة ميكانيكية,4.8,37,ChIJ25tk8L2azz8RUvCdg0yJFr8
MISMATCH,وكيل,Military AutoSource (MAS) Ali Al Salem On Base,الكويت,ونش وسحب,تاجر سيارات,4.4,37,ChIJx80IoMtVxT8RsEq9zb00334
MISMATCH,كهرباء سيارات,بنشر متنقل نجوم الخليج محمد غنيم,السالمية,تواير وبنشر,خدمة كهرباء سيارات,4.6,37,ChIJT14ZPPudzz8Rhlcl1HuxU6w
MISMATCH,بطاريات,برلين للإطارات,الشويخ الصناعية 2,تواير وبنشر,متجر بطاريات سيارات,3.3,36,ChIJq9Lrdbebzz8Rd9uMfBAHw8M
MISMATCH,قطع غيار,البرهان المفضل لتصليح السيارات,جليب الشيوخ,بطاريات,سوق قطع غيار السيارات,4.3,35,ChIJf7MVKF2bzz8Rb8do_F5OCX8
MISMATCH,وكيل,Automak Automotive Co - Shuwaikh 2 - شركة أوتوماك الشويخ 2,الشويخ الصناعية 2,وكلاء وكالات,شركة سيارات,4.0,35,ChIJI5cK3wSbzz8sJ_16L6-fCQ
MISMATCH,قطع غيار,سكراب الجامعة,الكويت,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,3.6,34,ChIJT6PAl0wI0D8RS6zIRhBIG6k
MISMATCH,فحص فني,الرمال الذهبية اوتو,العارضية الحرفية,قير وفتيس,محطة فحص سيارات,4.0,33,ChIJ2RXG2ASRzz8ROZ6Il0jzz6Q
MISMATCH,وكيل,مركز مقدم موتورز لبيع وشراء السيارات,غرب ابو فطيرة الحرفية,كمبيوتر وتشخيص,تاجر سيارات,4.3,31,ChIJx8R51Fugzz8REE1Edi2wG0I
MISMATCH,ميكانيكا,بنشر بشاير البركة,خيطان,تواير وبنشر,ميكانيكي,4.3,29,ChIJv64bVWabzz8RllMOjQDo7-E
MISMATCH,غسيل وتلميع,حماية وتظليل حراري للسيارات - شركة الماسة,غرب ابو فطيرة الحرفية,تظليل وزجاج,خدمة العناية الشاملة بالسيارة,4.1,29,ChIJ5Xm3xw2hzz8R-o3wizW1Tkg
MISMATCH,كهرباء سيارات,بنشر متنقل كراج وادي البيادر حولي,حولي,تواير وبنشر,خدمة كهرباء سيارات,4.6,28,ChIJ-xzOLgqdzz8RUoG93Mj9PsE
MISMATCH,إكسسوارات,ROYALFIT,الشويخ الصناعية,دواسر وفرش,متجر كماليات السيارات,4.0,28,ChIJt_BHsn-bzz8RXZBlD4zo3a4
MISMATCH,إكسسوارات,عالم الرائد لزينه السيارات وقطع الغيار / نسخ وبرمجة مفاتيح وفتح سيارات وعمل مفتاح بدل فاقد,الجهراء المنطقة الصناعية قطعه 1,كمبيوتر وتشخيص,متجر كماليات السيارات,3.9,28,ChIJWTPkNMT2zz8Rs_GmFqQ0Y84
MISMATCH,إكسسوارات,شركة الأوائل الاوريبة تنجيد كشنات. shop,الشويخ الصناعية,دواسر وفرش,متجر كماليات السيارات,4.9,27,ChIJZ5BOOsmbzz8RrTTcbg4RkvI
MISMATCH,وكيل,بيستون الخالد أوتو الكويت,الشويخ الصناعية,إكسسوارات,تاجر سيارات,3.9,27,ChIJxwSjHTabzz8RPeDdxYHXiOM
MISMATCH,إكسسوارات,Active 24,الري,دواسر وفرش,متجر كماليات السيارات,4.8,26,ChIJn3BvbQCbzz8RZISe7anhNyw
MISMATCH,غسيل وتلميع,Montecarlo - كراج مونتكارلو,الشويخ الصناعية,إكسسوارات,خدمة العناية الشاملة بالسيارة,4.5,26,ChIJQY86tsmbzz8Ri8CvLuDvN44
MISMATCH,إكسسوارات,جي تي ايه لحماية و تظليل السيارات,الري (قريب من الشويخ),تظليل وزجاج,متجر كماليات السيارات,4.5,24,ChIJhVs5Rx-bzz8RtgVahlln-fc
MISMATCH,إكسسوارات,شركة دبليو اف لزينه السيارات WF,الشويخ الصناعية 2,دواسر وفرش,متجر كماليات السيارات,4.3,24,ChIJ4ZRQ-LWbzz8RDECRk-Bu_Wo
MISMATCH,قطع غيار,زينة سيارات _ الركن اليماني perfec _ car Accessories,العارضية الحرفية,كمبيوتر وتشخيص,متجر قطع غيار سيارات,4.4,24,ChIJnQxr5x6Rzz8RE5T8sYM6ZaU
MISMATCH,وكيل,اكس درايف بيع وشراء وتثمين السيارات,العارضية الحرفية,دواسر وفرش,تاجر سيارات,4.3,23,ChIJm7fvx_Whzz8RBVaEv-oza4k
MISMATCH,إكسسوارات,باكستان العالمية لتنجيد مقاعد السيارات والاكسسوات,الشويخ الصناعية 1,دواسر وفرش,متجر كماليات السيارات,4.1,22,ChIJDZQASMGazz8Rjq6VC9L4PLc
MISMATCH,ميكانيكا,كراج نيو اوتو كير لتصليح السيارات,الري,دواسر وفرش,ميكانيكي,4.8,22,ChIJPfT4dzSbzz8RUTfTgrfb36s
MISMATCH,إكسسوارات,Sheraa Al-Kuwait Co.,مدينة الكويت,دواسر وفرش,متجر كماليات السيارات,4.5,22,ChIJ1-33WCqbzz8R-hWt77ZUkew
MISMATCH,قطع غيار,كراج السلام,الكويت,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,3.5,21,ChIJ-zxgLk0I0D8RlMpYV5U8LRs
MISMATCH,كمبيوتر وتشخيص,UGR Dyno Kuwait,الشويخ الصناعية,إكسسوارات,خدمة ضبط السيارات,4.4,21,ChIJdUDHJfGbzz8Rf5N7a0Sc2tA
MISMATCH,قطع غيار,كراج بن نخي لجميع السيارات,Salmi,قير وفتيس,متجر لبيع أجزاء السيارات المستعملة,4.1,20,ChIJy8H39NsJ0D8RF7M8-EfSVlI
MISMATCH,كهرباء سيارات,كهرباء وبنشر جمعية الفردوس التعاونية,الفردوس,تواير وبنشر,خدمة كهرباء سيارات,3.4,20,ChIJ5SgmOEaRzz8RR2J4j0TLCCc
MISMATCH,ميكانيكا,ميزان صقور البرنس بروفاندر,الفحيحيل,كمبيوتر وتشخيص,محل ياي سيارات,4.6,19,ChIJjSPXJAAHzz8RVHSs4o6-6Hw
MISMATCH,إكسسوارات,شركة محمد يوسف لتنجيد مقاعد و زينة السيارات,الشويخ الصناعية 3,دواسر وفرش,تاجر جملة اكسسوارات سيارات,4.3,19,ChIJRSPEgb-azz8RGxfuF7UhYik
MISMATCH,ميكانيكا,بنشر متنقل ورشة متنقلة كراج الشعله اصلاح السيارات خدمة طرق خدمة منازل خدمة بر,الرميثية,تواير وبنشر,ورشة ميكانيكا سيارات,4.8,19,ChIJddrFLNKdzz8Rxes1T4Djoco
MISMATCH,ميكانيكا,جسار تكييف وميكانيك وكهرباء,الشويخ الصناعية 3,كهرباء سيارات,ورشة ميكانيكا سيارات,4.2,18,ChIJu5jCvIqbzz8Ry52CGXf9Hvk
MISMATCH,كهرباء سيارات,كهرباء وميكانيك ومكيفات ماضي,الفحيحيل,بطاريات,خدمة كهرباء سيارات,4.4,18,ChIJS6BiEhgHzz8RupKdlZJgAEQ
MISMATCH,إكسسوارات,Ostura Car Accessories for Wellfit Car seatcovers,الشويخ الصناعية,دواسر وفرش,متجر كماليات السيارات,4.7,18,ChIJNwP1I8Gazz8RBxZQrq3C8qk
MISMATCH,زيوت وصيانة,AlMailem Oil & Lubricants,الشويخ الصناعية 1,كمبيوتر وتشخيص,خدمة تغيير الزيت,5.0,17,ChIJl17XSSibzz8R1b82Gu1Wa84
MISMATCH,قطع غيار,بزنس كار,العارضية الحرفية,كمبيوتر وتشخيص,متجر لبيع أجزاء السيارات المستعملة,4.2,17,ChIJr1mBkX2Rzz8R3qi9rX-V3EY
MISMATCH,غسيل وتلميع,مركز 37 ديزاين,الري,دواسر وفرش,خدمة العناية الشاملة بالسيارة,4.7,17,ChIJI7_2e8iazz8RfROOGE1Qslc
MISMATCH,وكيل,مؤسسة يورو لبيع السيارات,السالمية,دواسر وفرش,تاجر سيارات مستعملة,3.8,17,ChIJqxnFiq-dzz8RJAUWnuOK8lM
MISMATCH,قطع غيار,سكراب عوهه - تويوتا,الكويت,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,3.9,17,ChIJ1XtQ-LkJ0D8RblQeDViTjh8
MISMATCH,كهرباء سيارات,كهرباء وبنشر مركز شعلة حولي,حولي,تواير وبنشر,خدمة كهرباء سيارات,4.2,16,ChIJ5-url5-dzz8RBrEUNLTh7mM
MISMATCH,إكسسوارات,Kuwait car,مدينة الكويت,دواسر وفرش,متجر كماليات السيارات,4.3,16,ChIJv8NEM8Gazz8RyxP0WDgFq4w
MISMATCH,ميكانيكا,كراج بريمير كار كيرGarage premier car care,الشويخ الصناعية,قير وفتيس,ورشة ميكانيكا سيارات,4.9,15,ChIJLzP04NKbzz8RcN6xlDjGflU
MISMATCH,قطع غيار,AUTO1 Parts and Accessories Sharq,المرقاب,كمبيوتر وتشخيص,متجر قطع غيار سيارات,4.2,15,ChIJPcr6Iy6Fzz8RA6zvB34HdAw
MISMATCH,كمبيوتر وتشخيص,مؤسسة ملك الحماية,غرب ابو فطيرة الحرفية,دواسر وفرش,خدمة ضبط السيارات,3.3,15,ChIJPxrutUuhzz8RXz4GMb6QsSM
MISMATCH,قطع غيار,سكراب القلاف,الكويت,إكسسوارات,متجر لبيع أجزاء السيارات المستعملة,4.3,15,ChIJ5Tj2i1IJ0D8RiWy7MRP_uys
MISMATCH,ميكانيكا,Euro Tune Performance,الشويخ الصناعية 1,كمبيوتر وتشخيص,ميكانيكي,5.0,14,ChIJ2Zf4Pb2bzz8RXz2z9dA31Qk
